"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20230501","경부선","병점","14278","14866","20230504"
"20230501","신림선","보라매","2694","2483","20230504"
"20230501","7호선","보라매","5091","5263","20230504"
"20230501","신림선","보라매공원","1729","1912","20230504"
"20230501","신림선","보라매병원","3061","3112","20230504"
"20230501","6호선","보문","5990","5798","20230504"
"20230501","우이신설선","보문","1301","1412","20230504"
"20230501","경원선","보산","1509","1194","20230504"
"20230501","분당선","보정","2014","1751","20230504"
"20230501","분당선","복정","1","0","20230504"
"20230501","8호선","복정","5937","5281","20230504"
"20230501","장항선","봉명","943","966","20230504"
"20230501","9호선2~3단계","봉은사","11349","11579","20230504"
"20230501","2호선","봉천","17394","17034","20230504"
"20230501","6호선","봉화산(서울의료원)","6034","5862","20230504"
"20230501","경인선","부개","7085","6566","20230504"
"20230501","경강선","부발","1852","2235","20230504"
"20230501","경인선","부천","28645","28126","20230504"
"20230501","경인선","부평","27482","27707","20230504"
"20230501","우이신설선","북한산보국문","5867","5402","20230504"
"20230501","우이신설선","북한산우이","3792","3739","20230504"
"20230501","3호선","불광","14125","15654","20230504"
"20230501","6호선","불광","3901","3616","20230504"
"20230501","7호선","사가정","12872","12763","20230504"
"20230501","2호선","사당","28708","32361","20230504"
"20230501","4호선","사당","19816","19203","20230504"
"20230501","경춘선","사릉","2032","1972","20230504"
"20230501","수인선","사리","4315","3750","20230504"
"20230501","9호선","사평","2900","2811","20230504"
"20230501","안산선","산본","14016","14655","20230504"
"20230501","8호선","산성","4066","4316","20230504"
"20230501","4호선","삼각지","4934","5716","20230504"
"20230501","6호선","삼각지","7616","5603","20230504"
"20230501","경강선","삼동","1700","1596","20230504"
"20230501","2호선","삼성(무역센터)","26735","26652","20230504"
"20230501","9호선2~3단계","삼성중앙","3834","3980","20230504"
"20230501","일산선","삼송","16135","15787","20230504"
"20230501","우이신설선","삼양","1688","1752","20230504"
"20230501","우이신설선","삼양사거리","2211","2156","20230504"
